username,content,date,tweet_link,likes,retweets,quotes,comments,complete
@Ravers,"FUCK IT, SELLING ALL MY$ETH& APEING$SOL💪😤",2023-01-10 18:35:00,https://twitter.com/Ravers/status/1612880436174413826#m,64.0,1.0,0.0,13.0,True
@HyperTraderApp,"Latest in global#cryptomarkets

Market cap: $852.11B
24h volume: $38.80B$BTCdominance is 39.01%$ETHdominance is 19.09%#Altcoindominance is 41.90%",2023-01-10 12:00:00,https://twitter.com/HyperTraderApp/status/1612781422586068992#m,0.0,0.0,0.0,1.0,True
@MacnBTC,"Thinking$ETHwill range between $1,000 and $2,000 this whole year

step by step tutorial on how to make money: buy lower range, sell upper range",2023-01-10 08:40:00,https://twitter.com/MacnBTC/status/1612731090183294981#m,753.0,35.0,1.0,51.0,True
@MasonVersluis,I’d Buy$HBAROver$ETHevery time.,2023-01-10 06:40:00,https://twitter.com/MasonVersluis/status/1612699822150283265#m,556.0,29.0,4.0,43.0,True
@davidgokhshtein,Someone woke up$ETH. 👊,2023-01-11 23:35:00,https://twitter.com/davidgokhshtein/status/1613318598616907776#m,158.0,11.0,0.0,33.0,True
@wizardofsoho,If$ETHbreaks 1350 with strenght... it finnna fuckin gooooooooo. Bullas about to finishhhhhh all over their screens. Beras in maxp ain rn,2023-01-11 22:25:00,https://twitter.com/wizardofsoho/status/1613301071715205122#m,46.0,4.0,1.0,2.0,True
@ragzyart,"A short story by Ragzy:
2020
ME:$ethNFTS will takeover the space 

cryptobros: 😂🤣",2023-01-11 19:10:00,https://twitter.com/ragzyart/status/1613252086677774364#m,7.0,0.0,0.0,1.0,True
@AltcoinDaily,Just bought some$ETHand feeling bullish about the future of decentralized applications and smart contract technology.#ethereum#crypto,2023-01-11 15:00:00,https://twitter.com/AltcoinDaily/status/1613188481748025344#m,303.0,19.0,4.0,77.0,True
@HyperTraderApp,"Latest in global#cryptomarkets

Market cap: $857.72B
24h volume: $33.92B$BTCdominance is 39.17%$ETHdominance is 19.07%#Altcoindominance is 41.76%",2023-01-11 12:00:00,https://twitter.com/HyperTraderApp/status/1613143810594283521#m,0.0,0.0,0.0,1.0,True
@KongBTC,"🚨 2014 - Many missed$PPC🚨 2015 - Many missed$LTC🚨 2016 - Many missed$ETH🚨 2017 - Many missed$EOS🚨 2018 - Many missed$BNB🚨 2019 - Many missed$XRP🚨 2020 - Many missed$DOGE🚨 2021 - Many missed$BTC🚨 2022 - Many missed$SHIB✅ In 2023, don’t miss _____.",2023-01-11 09:15:00,https://twitter.com/KongBTC/status/1613101924957437954#m,35.0,7.0,1.0,79.0,True
@cburniske,"$ETHflips$BTCnext expansion, what % chance do you give this?",2023-01-11 08:20:00,https://twitter.com/cburniske/status/1613088495517732864#m,45.0,7.0,3.0,72.0,True
@AltcoinDaily,Are you acculating more bitcoin or ethereum?$BTC$ETH,2023-01-11 04:15:00,https://twitter.com/AltcoinDaily/status/1613026273424736257#m,81.0,9.0,2.0,155.0,True
@BinanceUS,"Trading is now live for BTC/DAI and ETH/DAI on#BinanceUSTrade$BTCand$ETHfor$USD,$USDT,$BUSD,$USDC, and now$DAIamong other pairs on the best#cryptoplatform for low fees.",2023-01-12 20:35:00,https://twitter.com/BinanceUS/status/1613635300789522464#m,30.0,4.0,0.0,24.0,True
@MajesticDrama,Bull trap or bullish$shib$btc$eth$dbnb,2023-01-12 19:50:00,https://twitter.com/MajesticDrama/status/1613624053234864147#m,7.0,5.0,0.0,4.0,True
@meirajhaq,Crypto twitter is alive again lol$Btc$Eth,2023-01-12 18:45:00,https://twitter.com/meirajhaq/status/1613607969689567242#m,13.0,0.0,0.0,0.0,True
@wizardofsoho,"PROFIT MAXI PROFIT MAXI. Always TAKE PROFITS. We crushed it today in IC and Weekly Wizdom newsletter. Closed almost all positions. Bought more VIX options at $20... Always buy under 20. Silver, DIS,long$ETHwere some of our bangers. The bigger banger was locking in profits.",2023-01-12 15:00:00,https://twitter.com/wizardofsoho/status/1613550511931768834#m,16.0,0.0,0.0,1.0,True
@scottmelker,1.4K all day.$ETH,2023-01-12 14:00:00,https://twitter.com/scottmelker/status/1613535971990978560#m,128.0,3.0,0.0,11.0,True
@HyperTraderApp,"Latest in global#cryptomarkets

Market cap: $885.04B
24h volume: $48.45B$BTCdominance is 39.60%$ETHdominance is 19.33%#Altcoindominance is 41.08%",2023-01-12 12:00:00,https://twitter.com/HyperTraderApp/status/1613506198451503111#m,0.0,0.0,0.0,1.0,True
@Bitpanda_global,"$ETHjumps almost 5% to clear $1400 while#Bitcoinbreaks through the $18,000 resistance just days after leaving $17k in the rear-view mirror.

Is this a sign of investors regaining confidence? 👇",2023-01-12 07:25:00,https://twitter.com/Bitpanda_global/status/1613437082185367553#m,89.0,11.0,0.0,14.0,True
@cryptorand,"$BTC$18k$ETH$1400

Good Morning Legends

Lets go 📈",2023-01-12 06:25:00,https://twitter.com/cryptorand/status/1613421550597816323#m,60.0,2.0,1.0,5.0,True
@wizardofsoho,"The last time we broke 1420 on$ETH.. it was the most volume candle of 2022. If we break on CPI 1420, its 1600 easily next and as long as Powell doesnt go super hawkish in February, we will see 2000. Obviously if core inflation doesnt drop.. then we will go back to 1150-1350",2023-01-12 04:00:00,https://twitter.com/wizardofsoho/status/1613385265736830976#m,59.0,7.0,3.0,4.0,True
@okx,"📢 JUST IN:$BTCbreaks $18,000 &$ETHsurpasses $1,400 for the first time since November 🚀🚀",2023-01-12 03:20:00,https://twitter.com/okx/status/1613374815142051840#m,108.0,21.0,0.0,28.0,True
@oOLatchOo,PPL HAPPY$ETHPUMPA,2023-01-12 03:10:00,https://twitter.com/oOLatchOo/status/1613371747801366529#m,14.0,0.0,0.0,0.0,True
@Tradermayne,"$ETHjust closed as it's 4th green daily in a row. 

Last time we had 5 green daily candles in a row was back in March 2022.",2023-01-12 00:40:00,https://twitter.com/Tradermayne/status/1613334021836242944#m,375.0,6.0,0.0,18.0,True
@SoloCeesay,"If you want to go fast, build on$ETHIf you want to go far, build on$HBAR🚀",2023-01-13 23:05:00,https://twitter.com/SoloCeesay/status/1614035121736409089#m,173.0,14.0,1.0,17.0,True
@davidgokhshtein,Bullish on$ETH!,2023-01-13 22:55:00,https://twitter.com/davidgokhshtein/status/1614032415407628288#m,149.0,15.0,0.0,44.0,True
@iSocialFanz,$ETHto 1.5k feels like 2021 ETH to 3.5k,2023-01-13 22:50:00,https://twitter.com/iSocialFanz/status/1614031955296751616#m,11.0,0.0,0.0,1.0,True
@KongBTC,"$BTCwill break $20000$ETHwill break $1500$LTCwill break $100$BNBwill break $300$MATICwill break $1

EITHER RIGHT NOW OR THIS WEEKEND!!!",2023-01-13 22:00:00,https://twitter.com/KongBTC/status/1614018875665928192#m,34.0,4.0,0.0,42.0,True
@CryptoGodJohn,Think we see a rotation into$ETHthis weekend,2023-01-13 21:30:00,https://twitter.com/CryptoGodJohn/status/1614012107262988290#m,131.0,6.0,0.0,49.0,True
@iamnickrose,During 2023 we’ll most likely have some of the biggest opportunities we get to see in markets during our lives! Excited to be here building & investing while so many others have given up 🙏🏻 LFG go strong 2023!@EthernityChain#Crypto$ERN$ETH,2023-01-13 18:50:00,https://twitter.com/iamnickrose/status/1613971811817132033#m,76.0,22.0,0.0,20.0,True
@HyperTraderApp,"Latest in global#cryptomarkets

Market cap: $907.55B
24h volume: $58.20B$BTCdominance is 40.19%$ETHdominance is 19.03%#Altcoindominance is 40.78%",2023-01-13 12:00:00,https://twitter.com/HyperTraderApp/status/1613868587885666304#m,0.0,0.0,0.0,1.0,True
@BitMartExchange,Where do you see$BTC&$ETHat the end of this week? 👀,2023-01-13 10:15:00,https://twitter.com/BitMartExchange/status/1613841660588294144#m,54.0,9.0,1.0,45.0,True
@CryptoGodJohn,Long term bags I’ve been accumulating this bear market$ETH$LINK$QNT$AZERO$PYR#Kompete$WAS,2023-01-14 13:55:00,https://twitter.com/CryptoGodJohn/status/1614259980454051840#m,673.0,72.0,6.0,97.0,True
@HyperTraderApp,"Latest in global#cryptomarkets

Market cap: $975.49B
24h volume: $88.31B$BTCdominance is 40.92%$ETHdominance is 19.21%#Altcoindominance is 39.87%",2023-01-14 12:00:00,https://twitter.com/HyperTraderApp/status/1614230975256444929#m,0.0,0.0,0.0,1.0,True
@Jamyies,How would you spend 10$ETH?,2023-01-14 11:00:00,https://twitter.com/Jamyies/status/1614215876865130505#m,38.0,5.0,1.0,46.0,True
@WazirXIndia,"🗞 Weekly#CryptoNews:

→ MetaMask launches beta program for#Ethereumstaking
→ El Salvador passes law establishing legal framework for all cryptocurrencies
→ Number of Staked$ETHpasses $16M
→ AWS partners with$AVAXto scale blockchain adoption
→#Bitcointouches $21,000",2023-01-14 08:15:00,https://twitter.com/WazirXIndia/status/1614173425156734979#m,107.0,18.0,2.0,32.0,True
@stelyb,$FTMis the oldest EVM chain after$ETHand is here for decades.,2023-01-14 07:30:00,https://twitter.com/stelyb/status/1614162512450310145#m,342.0,42.0,2.0,16.0,True
@wizardofsoho,who wants liquiidty on Grails? i got tons of$ethfrom 1080 and am looking to spend a chunk of it on nfts this weekend... pudgy grails.. azukis.... down for some some deals who need $$$,2023-01-14 06:20:00,https://twitter.com/wizardofsoho/status/1614144723911835648#m,88.0,1.0,0.0,42.0,True
@ArnoldPoernomo,"CT be like$ETHeoy $10k$SOLoey $2k 

Where u at?",2023-01-14 05:25:00,https://twitter.com/ArnoldPoernomo/status/1614130641901342720#m,39.0,1.0,0.0,10.0,True
