date,supply_ETH,act_addr_ETH,market_dom_ETH
2022-08-22,120235282.86552489,447584,18.635114757515332
2022-08-23,120249126.47245973,452127,18.945736849863533
2022-08-24,120262846.99808137,457274,19.20575236109312
2022-08-25,120276254.00451504,476354,19.244048794727778
2022-08-26,120289867.26582922,451637,19.443304251495558
2022-08-27,120303929.38502796,458317,17.94184504475649
2022-08-28,120317920.12869136,443617,18.241905447221516
2022-08-29,120331413.42169492,439639,17.946006628768817
2022-08-30,120344358.33751051,431847,18.86741041155377
2022-08-31,120357263.35971397,434098,17.27285273829615
2022-09-01,120370177.16268212,457623,18.605616460772286
2022-09-02,120383840.65043059,480655,19.2571893356194
2022-09-03,120397867.67938897,494342,19.23634477352243
2022-09-04,120411965.40436463,553564,19.056233662893312
2022-09-05,120425609.17033295,490989,19.18077689109968
2022-09-06,120439009.12724103,472018,19.450614466177285
2022-09-07,120451928.89853245,445363,19.635492469920653
2022-09-08,120464800.19310024,473381,19.774819148477572
2022-09-09,120477301.50222501,485261,19.873182142391187
2022-09-10,120490757.18937045,461813,19.640734389933087
2022-09-11,120504316.88176627,454622,19.999078051831994
2022-09-12,120517288.06825885,451299,19.87083473616757
2022-09-13,120530267.82845566,487524,19.23644183966959
2022-09-14,120543274.70703904,534899,19.058815522009024
2022-09-15,120546790.794685,610221,19.441750932026256
2022-09-16,120547571.10282111,624503,18.145822371597
2022-09-17,120548677.03926648,654263,17.660325563405532
2022-09-18,120549641.3809411,467225,17.78201256340218
2022-09-19,120550402.28392245,448353,16.994468271904026
2022-09-20,120550991.65556921,451887,17.269575420550613
2022-09-21,120551549.29645963,445731,17.001443207460547
2022-09-22,120552291.14371614,442476,16.420194674723398
2022-09-23,120553172.39495023,461549,16.660884099489376
2022-09-24,120554343.59812666,484509,16.680904249398747
2022-09-25,120555359.69224605,443286,16.762083592821085
2022-09-26,120555930.10686067,457511,16.615319917364687
2022-09-27,120555846.02134366,520880,16.53869269942496
2022-09-28,120556080.12283981,436385,16.914749872680577
2022-09-29,120556390.81350926,455223,16.803734236678352
2022-09-30,120556568.0459701,450693,16.736052775888968
2022-10-01,120557448.12875083,447231,16.701760581784157
2022-10-02,120558656.9009617,450681,16.46477633368788
2022-10-03,120558893.81955138,419418,16.289147143986757
2022-10-04,120559179.63297749,441708,16.252218833642907
2022-10-05,120559409.848369,450998,16.687160672742856
2022-10-06,120559927.37180549,516113,15.963289092639304
2022-10-07,120560736.43665726,501170,16.709220244507772
2022-10-08,120560511.82205416,540339,16.570166050993
2022-10-09,120559244.83224401,546674,14.86986602453172
2022-10-10,120557383.31081164,542221,16.629955349988123
2022-10-11,120556350.43288709,520214,16.59824505117549
2022-10-12,120556119.47208416,494386,16.555694741645734
2022-10-13,120555590.31937148,474783,16.718992391297324
2022-10-14,120555538.06402776,465744,16.591240406095043
2022-10-15,120555571.97930439,490111,16.778522647193334
2022-10-16,120555866.3075685,410747,16.564347413682196
2022-10-17,120555432.54541928,415925,16.76855897721414
2022-10-18,120554719.03350402,385753,15.927466594055756
2022-10-19,120553787.42568246,405639,16.719063485900815
2022-10-20,120552289.33299349,453066,15.041378055051974
2022-10-21,120550909.06022497,441772,14.757932513369864
2022-10-22,120550786.09295565,390231,16.852542621662103
2022-10-23,120551149.53841107,405887,16.571246182674887
2022-10-24,120550947.99785954,420499,17.18670232957651
2022-10-25,120550578.58802289,409530,17.14098792265602
2022-10-26,120550434.13546655,446439,18.04945959673817
2022-10-27,120550595.74728002,460198,18.76225543853883
2022-10-28,120550684.78331256,405102,18.50384530573792
2022-10-29,120551161.91293831,402854,18.62118223922051
2022-10-30,120552050.30492927,399734,18.98909746612939
2022-10-31,120551803.12764075,419865,18.650364792490265
2022-11-01,120552176.46507816,436407,16.86076249094252
2022-11-02,120552339.47666131,396720,18.27938329144883
2022-11-03,120552127.94249696,427609,17.89358753052834
2022-11-04,120552043.80354844,398640,18.13239519703815
2022-11-05,120552542.56056796,398545,18.429051494633192
2022-11-06,120553102.01929115,374375,18.257080905934178
2022-11-07,120553048.97791396,431422,18.107945136131313
2022-11-08,120550175.76902032,416542,18.181796221443875
2022-11-09,120546684.42235345,462781,17.224907436609804
2022-11-10,120544798.67742194,436441,16.43588772301302
2022-11-11,120544259.22104636,428521,17.4153181006887
2022-11-12,120544527.00632522,416064,17.67627650335458
2022-11-13,120544794.17417783,426441,17.59867047066017
2022-11-14,120544685.4055712,474868,17.593998095601716
2022-11-15,120544513.0077875,469880,17.618401419955145
2022-11-16,120544566.48438549,448492,17.571801467318807
2022-11-17,120544725.46216512,463467,17.344494617664296
2022-11-18,120545081.4467553,429389,17.156244945916292
2022-11-19,120545610.13116884,387198,17.09209465874251
2022-11-20,120546158.7277652,365158,17.46474528150746
2022-11-21,120546629.36497934,376409,16.972031688695278
2022-11-22,120546897.0540661,378803,16.80870048269432
2022-11-23,120547325.78113441,411071,16.8850687508317
2022-11-24,120547884.79911621,452749,16.808190823187005
2022-11-25,120548556.25440784,456004,17.24163466957861
2022-11-26,120549281.80079198,418813,17.216830987801142
2022-11-27,120550032.28216949,388257,17.299444568457414
2022-11-28,120550394.17271078,494757,17.167385879769355
2022-11-29,120551015.78399771,455785,16.9264035177185
2022-11-30,120551529.23148328,411913,17.357978055119936
2022-12-01,120552011.26621863,384059,17.59868746593985
2022-12-02,120552534.47471748,444645,17.754615291135718
2022-12-03,120553123.0357592,425841,17.867071583515994
2022-12-04,120553729.52349564,450202,17.453136602508316
2022-12-05,120554107.3037933,414904,17.721186612317876
2022-12-06,120554351.58118421,416431,16.789576550571724
2022-12-07,120554541.62976912,378572,17.090483069266003
2022-12-08,120554753.02612883,377061,17.433096189590465
2022-12-09,120553279.42868912,1418131,17.71897021455556
2022-12-10,120553478.6309086,567729,17.449534128145295
2022-12-11,120553669.39058875,537664,17.658468445359933
2022-12-12,120553737.3825253,557303,17.68569552395143
2022-12-13,120553648.25092134,446484,17.8724288249977
2022-12-14,120553804.97339998,440289,18.079645078483022
2022-12-15,120553777.53331132,435749,17.963583357108874
2022-12-16,120553681.43703273,476121,17.80293176466801
2022-12-17,120554046.359625,413377,17.358458258246273
2022-12-18,120554402.7921461,337900,17.43696559298837
2022-12-19,120554700.73269916,389283,17.364070948300558
2022-12-20,120554857.14989975,377737,17.36269381721205
2022-12-21,120555084.2625258,427518,17.789213938175127
2022-12-22,120555375.8495314,394252,17.837447840460626
2022-12-23,120555757.16972049,404960,17.87584144845695
2022-12-24,120556369.03548504,370852,17.931748733595374
2022-12-25,120557047.96919999,357439,17.928730556409295
2022-12-26,120557646.52301471,378219,17.924099241456357
2022-12-27,120557887.309406,397428,17.960730510988213
2022-12-28,120558009.26700912,375988,17.868212114530508
2022-12-29,120558083.54902667,361425,17.79328349358879
2022-12-30,120558082.62814946,371609,17.893329884608598
2022-12-31,120558205.67816883,334874,17.888334872262305
2023-01-01,120558506.12757719,279900,17.856849605907488
2023-01-02,120558635.3391298,335308,17.907979571585138
2023-01-03,120558535.92145786,346588,17.93929378741337
2023-01-04,120558272.38768312,404285,17.939574495188385
2023-01-05,120557893.8700281,519571,18.22807013164335
2023-01-06,120557584.51575874,389048,18.223362134691843
2023-01-07,120557780.33607672,389039,17.166974421409325
2023-01-08,120557681.94576225,643400,18.300352191441718
2023-01-09,120557124.11343262,444691,18.357961300247446
2023-01-10,120556723.30190606,412431,18.58828075712005
2023-01-11,120556296.99283339,421988,18.59855786479681
2023-01-12,120555886.71425977,431782,18.833728893646228
2023-01-13,120555113.67960636,411317,18.63028398668818
2023-01-14,120554486.05857511,443232,18.400636898971268
2023-01-15,120554315.23673168,395078,18.766760153702812
2023-01-16,120553838.7074254,422043,18.84855531242439
2023-01-17,120553288.4883117,405211,18.975757513758353
2023-01-18,120552387.77178486,468276,18.912210372507765
2023-01-19,120552045.57441601,392043,18.76742663999827
